tconst,language,title type,primary title,original title,isAdult,start year,end year,runtime minutes,genres,averageRating,numVotes
tt0123915,English,movie,Invaders of the Lost Gold,Horror Safari,0,1982,\N,90,"Action,Adventure,Horror",3.3,600
tt0123935,English,movie,The Guard,Karaul,0,1990,\N,96,Drama,7,163
tt0123956,English,movie,Lebensborn,Lebensborn,0,1997,\N,98,"Drama,Thriller",5,133
tt0123964,English,movie,Life,Life,0,1999,\N,108,"Comedy,Crime,Drama",6.8,52341
tt0123965,English,movie,Life Classes,Life Classes,0,1988,\N,117,Drama,6.8,66
tt0123967,English,movie,Lighthouse,Lighthouse,0,1991,\N,87,Drama,3.2,26
tt0123975,English,movie,Looking for Lola,Looking for Lola,0,1997,\N,99,Comedy,5.2,338
tt0123977,English,movie,Love Kills,Love Kills,0,1998,\N,97,"Comedy,Romance,Thriller",3.8,286
tt0123978,English,movie,Love Me Twice,Love Me Twice,0,1996,\N,81,"Crime,Mystery",4.5,78
tt0123982,English,movie,Lover Boy,Lover Boy,0,1989,\N,58,Drama,5.8,181
tt0123983,English,movie,Kiss & Tell,Kiss & Tell,0,1997,\N,96,"Comedy,Drama",4.4,266
tt0123987,English,movie,Madeline,Madeline,0,1998,\N,88,"Comedy,Family",6,7712
tt0124006,English,movie,Mischievous,Mischievous,0,1996,\N,97,Thriller,4.3,151
tt0124007,English,movie,Miss India Georgia,Miss India Georgia,0,1997,\N,57,Documentary,7.4,9
tt0124014,English,movie,The Mutilator,The Mutilator,0,1984,\N,86,"Horror,Thriller",5.2,5500
tt0124028,English,movie,The North End,The North End,0,1997,\N,98,Drama,8.6,41
tt0124076,English,movie,Portland Exposé,Portland Expos√©,0,1957,\N,72,"Crime,Film-Noir,Mystery",6,236
tt0124092,English,movie,Rat,Rat,0,1998,\N,56,Documentary,7.5,56
tt0124102,English,movie,Strangeland,Strangeland,0,1998,\N,85,"Horror,Thriller",5,7394
tt0124103,English,movie,A Rustling of Leaves: Inside the Philippine Revolution,A Rustling of Leaves: Inside the Philippine Revolution,0,1988,\N,110,Documentary,8,29
tt0124116,English,movie,Sexual Roulette,Sexual Roulette,0,1997,\N,87,"Drama,Romance",4.2,295
tt0124119,English,movie,Blue Ridge Fall,Blue Ridge Fall,0,1999,\N,100,"Crime,Drama",5.5,436
tt0124120,English,movie,Shotgun Freeway: Drives Through Lost L.A.,Shotgun Freeway: Drives Through Lost L.A.,0,1995,\N,91,Documentary,6.7,71
tt0124123,English,movie,Le siège de l'âme,Le si√®ge de l'√¢me,0,1997,\N,105,"Drama,Romance",6.6,44
tt0124137,English,movie,Sparkler,Sparkler,0,1997,\N,96,"Comedy,Drama",5.5,466
tt0124176,English,movie,What Senka Said,Chto u Senki bylo,0,1984,\N,79,Family,6.7,26
tt0124179,English,movie,Two Girls and a Guy,Two Girls and a Guy,0,1997,\N,84,Drama,5.5,8585
tt0124180,English,movie,Tänzerinnen für Tanger,T√§nzerinnen f√ºr Tanger,0,1977,\N,87,"Crime,Drama",3.8,79
